Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Author (product.metafields.custom.author),Categoría (product.metafields.custom.categor_a),Description (product.metafields.custom.description),Edades (product.metafields.custom.edades),Ilustrator (product.metafields.custom.ilustrator),Paginas (product.metafields.custom.paginas),Tamaño (product.metafields.custom.size),Tema (product.metafields.custom.tema),Tipo (product.metafields.custom.tipo),ISBN (product.metafields.facts.isbn),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Book cover type (product.metafields.shopify.book-cover-type),Genre (product.metafields.shopify.genre),Language (product.metafields.shopify.language),Language version (product.metafields.shopify.language-version),Target audience (product.metafields.shopify.target-audience),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Schweiz,Price / Schweiz,Compare At Price / Schweiz,Included / Europa,Price / Europa,Compare At Price / Europa,Status
libro-de-las-preguntas,Libro de las preguntas,"<p>Lorem</p><table style=""width:100%""><tbody>
<tr>
<td><strong>Autor</strong></td>
<td>Pablo Neruda</td>
</tr>
<tr>
<td><strong>Ilustraciones de</strong></td>
<td>Paloma Valdivia</td>
</tr>
<tr>
<td><strong>ISBN</strong></td>
<td>978-956-6222-07-1</td>
</tr>
</tbody></table>",Ediciones Liebre,,,,false,Title,Default Title,,,,,,,,,200.0,shopify,0,deny,manual,30.00,,true,true,,,,,'9789566222071,https://cdn.shopify.com/s/files/1/0552/4075/3207/files/978956622207.jpg?v=1777233950,1,,false,,,,,,,,,,,,,,Pablo Neruda,,Lorem,,Paloma Valdivia,,,,,9789566222071,,,,,,,,,,,,g,,,true,,,true,,,active
cosa-seria,Cosa Seria,"<p>Lorem ipsum</p><table style=""width:100%""><tbody>
<tr>
<td><strong>Autor</strong></td>
<td>Mónica Grobert</td>
</tr>
<tr>
<td><strong>ISBN</strong></td>
<td>9789874975928</td>
</tr>
</tbody></table>",Periplo,,,,false,Title,Default Title,,,,,,,,,100.0,shopify,0,deny,manual,20.00,,true,true,,,,,'9789874975928,https://cdn.shopify.com/s/files/1/0552/4075/3207/files/tapa-cosa-seria-355x515-879d6e292cc386934917665205454654-1024-1024.webp?v=1777233798,1,,false,,,,,,,,,,,,,,Mónica Grobert,,Lorem ipsum,,,,,,,9789874975928,,,,,,,,,,,,g,,,true,,,true,,,active
la-casa-de-los-ratones-sam-y-julia-se-van-de-picnic,La casa de los ratones. Sam y Julia se van de pícnic,"<p>Lorem ipsum</p><table style=""width:100%""><tbody>
<tr>
<td><strong>Autor</strong></td>
<td>Karina Schaapman</td>
</tr>
<tr>
<td><strong>ISBN</strong></td>
<td>978-8417059590</td>
</tr>
<tr>
<td><strong>Páginas</strong></td>
<td>36 páginas</td>
</tr>
<tr>
<td><strong>Tipo</strong></td>
<td>tapa dura</td>
</tr>
<tr>
<td><strong>Tamaño</strong></td>
<td>20.5 x 25 cm</td>
</tr>
<tr>
<td><strong>Traducción por</strong></td>
<td>Goedele De Sterck</td>
</tr>
</tbody></table>",Blackie Little,,,,false,Title,Default Title,,,,,,,,,300.0,shopify,0,deny,manual,20.00,,true,true,,,,,'9788417059590,https://cdn.shopify.com/s/files/1/0552/4075/3207/files/71RyYfGy2-L._SL1229.jpg?v=1777233594,1,,false,,,,,,,,,,,,,,Karina Schaapman,,Lorem ipsum,,,36,20.5 x 25 cm,,tapa dura,9788417059590,,,,,,,,,,,,g,,,true,,,true,,,active
el-pato-la-muerta-y-el-tulipan,"El pato, la muerta y el tulipán","<p>lorem ipsum</p><table style=""width:100%""><tbody>
<tr>
<td><strong>Autor</strong></td>
<td>Wolf Erlbruch</td>
</tr>
<tr>
<td><strong>ISBN</strong></td>
<td>978-8493481186</td>
</tr>
<tr>
<td><strong>Páginas</strong></td>
<td>32 páginas</td>
</tr>
<tr>
<td><strong>Tipo</strong></td>
<td>tapa dura</td>
</tr>
<tr>
<td><strong>Tamaño</strong></td>
<td>24.5 x 30.2 cm</td>
</tr>
<tr>
<td><strong>Traducción por</strong></td>
<td>Moka Seco</td>
</tr>
</tbody></table>",Barbara Fiore Editora,,,,false,Title,Default Title,,,,,,,,,100.0,shopify,0,deny,manual,20.00,,true,true,,,,,'9788493481186,https://cdn.shopify.com/s/files/1/0552/4075/3207/files/61d-_rYqoL._SL1500.jpg?v=1777233422,1,,false,,,,,,,,,,,,,,Wolf Erlbruch,,lorem ipsum,,,32,24.5 x 30.2 cm,,tapa dura,9788493481186,,,,,,,,,,,,g,,,true,,,true,,,active
perez,Peréz,"<p>lorem ipsum</p><table style=""width:100%""><tbody>
<tr>
<td><strong>Autor</strong></td>
<td>Andrea Antinori</td>
</tr>
<tr>
<td><strong>ISBN</strong></td>
<td>9789569825453</td>
</tr>
<tr>
<td><strong>Páginas</strong></td>
<td>56 páginas</td>
</tr>
<tr>
<td><strong>Tipo</strong></td>
<td>tapa dura</td>
</tr>
<tr>
<td><strong>Tamaño</strong></td>
<td>20 x 26 cm</td>
</tr>
</tbody></table>",Claraboya,,,,false,Title,Default Title,,,,,,,,,100.0,shopify,0,deny,manual,20.00,,true,true,,,,,'9789569825453,,,,false,,,,,,,,,,,,,,Andrea Antinori,,lorem ipsum,,,56,20 x 26 cm,,tapa dura,9789569825453,,,,,,,,,,,,g,,,true,,,true,,,active
que-libro-mas-tonto,¡Qué libro más tonto!,"<p>lorem ipsum</p><table style=""width:100%""><tbody>
<tr>
<td><strong>Autor</strong></td>
<td>Sergio Ruggier</td>
</tr>
<tr>
<td><strong>ISBN</strong></td>
<td>9788494983023</td>
</tr>
<tr>
<td><strong>Páginas</strong></td>
<td>36 páginas</td>
</tr>
<tr>
<td><strong>Tipo</strong></td>
<td>tapa dura</td>
</tr>
</tbody></table>",liana editorial,,,,false,Title,Default Title,,,,,,,,,100.0,shopify,0,deny,manual,20.00,,true,true,,,,,'9788494983023,,,,false,,,,,,,,,,,,,,Sergio Ruggier,,lorem ipsum,,,36,,,tapa dura,9788494983023,,,,,,,,,,,,g,,,true,,,true,,,active
los-estramboticos-el-secreto-de-la-turmalina,Los Estrambóticos: El Secreto de la Turmalina,"<p>Lorem ipsum</p><table style=""width:100%""><tbody>
<tr>
<td><strong>Autor</strong></td>
<td>Nicolás Schuff</td>
</tr>
<tr>
<td><strong>Ilustraciones de</strong></td>
<td>Jimena Tello</td>
</tr>
<tr>
<td><strong>ISBN</strong></td>
<td>978-987-47732-9-6</td>
</tr>
<tr>
<td><strong>Páginas</strong></td>
<td>128 páginas</td>
</tr>
<tr>
<td><strong>Tipo</strong></td>
<td>tapa blanda</td>
</tr>
</tbody></table>",Ralenti,,,,false,Title,Default Title,,,,,,,,,200.0,shopify,0,deny,manual,23.00,,true,true,,,,,'9789874773296,https://cdn.shopify.com/s/files/1/0552/4075/3207/files/el-secreto-de-la-turmalina1-f886f00764dbf3378216933459262630-1024-1024.webp?v=1777233100,1,,false,,,,,,,,,,,,,,Nicolás Schuff,,Lorem ipsum,,Jimena Tello,128,,,tapa blanda,9789874773296,,,,,,,,,,,,g,,,true,,,true,,,active
la-nina-que-se-escondia-demasiado,La Niña que se escondia demasiado,"<p>Lorem ipsum</p><table style=""width:100%""><tbody>
<tr>
<td><strong>Autor</strong></td>
<td>Joceline Pérez Gallardo</td>
</tr>
<tr>
<td><strong>ISBN</strong></td>
<td>9789569829017</td>
</tr>
<tr>
<td><strong>Páginas</strong></td>
<td>32 páginas</td>
</tr>
<tr>
<td><strong>Tipo</strong></td>
<td>tapa dura</td>
</tr>
<tr>
<td><strong>Tamaño</strong></td>
<td>17,5 x 25 cm</td>
</tr>
</tbody></table>",Muñeca de trapo,,,,false,Title,Default Title,,,,,,,,,200.0,shopify,0,deny,manual,23.00,,true,true,,,,,'9789569829017,https://cdn.shopify.com/s/files/1/0552/4075/3207/files/2074.webp?v=1777232963,1,,false,,,,,,,,,,,,,,Joceline Pérez Gallardo,,Lorem ipsum,,,32,"17,5 x 25 cm",,tapa dura,9789569829017,,,,,,,,,,,,g,,,true,,,true,,,active
mi-casa-a-veces,Mi casa a veces,"<p>Lorem ipsum</p><table style=""width:100%""><tbody>
<tr>
<td><strong>Autor</strong></td>
<td>Laura Wittner</td>
</tr>
<tr>
<td><strong>ISBN</strong></td>
<td>9786319005431</td>
</tr>
<tr>
<td><strong>Páginas</strong></td>
<td>36 páginas</td>
</tr>
<tr>
<td><strong>Tipo</strong></td>
<td>tapa dura</td>
</tr>
<tr>
<td><strong>Tamaño</strong></td>
<td>20 x 20 cm</td>
</tr>
</tbody></table>",Ralenti,,,,false,Title,Default Title,,,,,,,,,200.0,shopify,0,deny,manual,20.00,,true,true,,,,,'9786319005431,https://cdn.shopify.com/s/files/1/0552/4075/3207/files/9786319005431-1.jpg?v=1777232858,1,,false,,,,,,,,,,,,,,Laura Wittner,,Lorem ipsum,,,36,20 x 20 cm,,tapa dura,9786319005431,,,,,,,,,,,,g,,,true,,,true,,,active
los-tatuajes,Los tatuajes,"<p>Lorem ipsum</p><table style=""width:100%""><tbody>
<tr>
<td><strong>Autor</strong></td>
<td>Nicolás Schuff</td>
</tr>
<tr>
<td><strong>Ilustraciones de</strong></td>
<td>Ana Sender</td>
</tr>
<tr>
<td><strong>ISBN</strong></td>
<td>9789878455372</td>
</tr>
<tr>
<td><strong>Tipo</strong></td>
<td>tapa dura</td>
</tr>
</tbody></table>",Lecturita Ediciones,,,,false,Title,Default Title,,,,,,,,,100.0,shopify,0,deny,manual,24.00,,true,true,,,,,'9789878455372,https://cdn.shopify.com/s/files/1/0552/4075/3207/files/PorIdentidad.jpg?v=1777232784,1,,false,,,,,,,,,,,,,,Nicolás Schuff,,Lorem ipsum,,Ana Sender,,,,tapa dura,9789878455372,,,,,,,,,,,,g,,,true,,,true,,,active
la-guerra-de-los-panes,La guerra de los panes,"<p>Lorem ipsum</p><table style=""width:100%""><tbody>
<tr>
<td><strong>Autor</strong></td>
<td>Graciela Montes</td>
</tr>
<tr>
<td><strong>ISBN</strong></td>
<td>9789500720465</td>
</tr>
<tr>
<td><strong>Páginas</strong></td>
<td>48 páginas</td>
</tr>
<tr>
<td><strong>Tipo</strong></td>
<td>tapa blanda</td>
</tr>
<tr>
<td><strong>Tamaño</strong></td>
<td>13 x 19 cm</td>
</tr>
</tbody></table>",Penguin Libros,,,,false,Title,Default Title,,,,,,,,,100.0,shopify,0,deny,manual,20.00,,true,true,,,,,'9789500720465,https://cdn.shopify.com/s/files/1/0552/4075/3207/files/guerra-de-panes.png?v=1777232669,1,,false,,,,,,,,,,,,,,Graciela Montes,,Lorem ipsum,,,48,13 x 19 cm,,tapa blanda,9789500720465,,,,,,,,,,,,g,,,true,,,true,,,active
los-super-8-sol-y-luna,Los Súper 8: Sol y Luna,"<p class=""font_8 wixui-rich-text__text""><span class=""wixui-rich-text__text"">Sol viaja a la ciudad para pasar un tiempo con su papá, a quien solo vio un par de veces.</span></p>
<p class=""font_8 wixui-rich-text__text""><span class=""wixui-rich-text__text"">Entre calles, paredes y ventanas de este nuevo lugar, encuentra mucho más que lo que buscaba. Unos grafitis con frases misteriosas parecen ser un mensaje especial para ella.</span></p>
<p class=""font_8 wixui-rich-text__text""><span class=""wixui-rich-text__text"">Mientras aprende a convivir con su papá y se pierde en la gran ciudad, encuentra a alguien en la ventana de enfrente: Luna. Luna, su guitarra y sus rulos colorados. </span></p>
<p class=""font_8 wixui-rich-text__text""><span class=""wixui-rich-text__text"">Hay una historia detrás y Sol está decidida a ver qué hay.</span></p>
<table style=""width: 100%;"">
<tbody>
<tr>
<td><strong>Autor</strong></td>
<td>Melina Pogorelsky</td>
</tr>
<tr>
<td><strong>Ilustraciones de</strong></td>
<td>Camila Torre Notari</td>
</tr>
<tr>
<td><strong>ISBN</strong></td>
<td>978-987-48220-0-0</td>
</tr>
<tr>
<td><strong>Páginas</strong></td>
<td>164 páginas</td>
</tr>
<tr>
<td><strong>Tipo</strong></td>
<td>tapa dura</td>
</tr>
<tr>
<td><strong>Tamaño</strong></td>
<td>10 x 20 cm</td>
</tr>
</tbody>
</table>",Ralenti,Uncategorized,,,false,Title,Default Title,,,,,,,,,250.0,shopify,-1,deny,manual,24.00,,true,true,,,,,'9789874822000,https://cdn.shopify.com/s/files/1/0552/4075/3207/files/61u8TdwOKBL._SL1000.jpg?v=1777225965,1,,false,,,,,,,,,,,,,,Melina Pogorelsky,,Lorem Ipsum,,Camila Torre Notari,164,10 x 20 cm,,tapa dura,9789874822000,,,,,,,,,,,,g,,,true,,,true,,,active
