Product Id,Product Handle,Product Title,Product Subtitle,Product Description,Product Status,Product Thumbnail,Product Weight,Product Length,Product Width,Product Height,Product HS Code,Product Origin Country,Product MID Code,Product Material,Shipping Profile Id,Product Sales Channel 1,Product Collection Id,Product Type Id,Product Tag 1,Product Discountable,Product External Id,Variant Metadata,Variant Id,Variant Title,Variant SKU,Variant Barcode,Variant Allow Backorder,Variant Manage Inventory,Variant Weight,Variant Length,Variant Width,Variant Height,Variant HS Code,Variant Origin Country,Variant MID Code,Variant Material,Variant Price EUR,Variant Price USD,Variant Option 1 Name,Variant Option 1 Value,Product Image 1 Url,Product Image 2 Url,Product Image 3 Url,Product Image 4 Url,Product Image 5 Url,Product Image 6 Url,Product Image 7 Url,Product Image 8 Url,Product Image 9 Url,Product Image 10 Url
,libro-de-las-preguntas,Libro de las preguntas,,Lorem,draft,https://cdn.shopify.com/s/files/1/0552/4075/3207/files/978956622207.jpg?v=1777233950,200.0,,,,,,,,,,,,,true,,"{""publisher"":""Ediciones Liebre""}",,Default Title,,9789566222071,false,true,200.0,,,,,,,,30.00,,Title,Default Title,https://cdn.shopify.com/s/files/1/0552/4075/3207/files/978956622207.jpg?v=1777233950,,,,,,,,,
,cosa-seria,Cosa Seria,,Lorem ipsum,draft,https://cdn.shopify.com/s/files/1/0552/4075/3207/files/tapa-cosa-seria-355x515-879d6e292cc386934917665205454654-1024-1024.webp?v=1777233798,100.0,,,,,,,,,,,,,true,,"{""publisher"":""Periplo""}",,Default Title,,9789874975928,false,true,100.0,,,,,,,,20.00,,Title,Default Title,https://cdn.shopify.com/s/files/1/0552/4075/3207/files/tapa-cosa-seria-355x515-879d6e292cc386934917665205454654-1024-1024.webp?v=1777233798,,,,,,,,,
,la-casa-de-los-ratones-sam-y-julia-se-van-de-picnic,La casa de los ratones. Sam y Julia se van de pícnic,,Lorem ipsum,draft,https://cdn.shopify.com/s/files/1/0552/4075/3207/files/71RyYfGy2-L._SL1229.jpg?v=1777233594,300.0,,,,,,,,,,,,,true,,"{""publisher"":""Blackie Little""}",,Default Title,,9788417059590,false,true,300.0,,,,,,,,20.00,,Title,Default Title,https://cdn.shopify.com/s/files/1/0552/4075/3207/files/71RyYfGy2-L._SL1229.jpg?v=1777233594,,,,,,,,,
,el-pato-la-muerta-y-el-tulipan,"El pato, la muerta y el tulipán",,lorem ipsum,draft,https://cdn.shopify.com/s/files/1/0552/4075/3207/files/61d-_rYqoL._SL1500.jpg?v=1777233422,100.0,,,,,,,,,,,,,true,,"{""publisher"":""Barbara Fiore Editora""}",,Default Title,,9788493481186,false,true,100.0,,,,,,,,20.00,,Title,Default Title,https://cdn.shopify.com/s/files/1/0552/4075/3207/files/61d-_rYqoL._SL1500.jpg?v=1777233422,,,,,,,,,
,perez,Peréz,,lorem ipsum,draft,,100.0,,,,,,,,,,,,,true,,"{""publisher"":""Claraboya""}",,Default Title,,9789569825453,false,true,100.0,,,,,,,,20.00,,Title,Default Title,,,,,,,,,,
,que-libro-mas-tonto,¡Qué libro más tonto!,,lorem ipsum,draft,,100.0,,,,,,,,,,,,,true,,"{""publisher"":""liana editorial""}",,Default Title,,9788494983023,false,true,100.0,,,,,,,,20.00,,Title,Default Title,,,,,,,,,,
,los-estramboticos-el-secreto-de-la-turmalina,Los Estrambóticos: El Secreto de la Turmalina,,Lorem ipsum,draft,https://cdn.shopify.com/s/files/1/0552/4075/3207/files/el-secreto-de-la-turmalina1-f886f00764dbf3378216933459262630-1024-1024.webp?v=1777233100,200.0,,,,,,,,,,,,,true,,"{""publisher"":""Ralenti""}",,Default Title,,9789874773296,false,true,200.0,,,,,,,,23.00,,Title,Default Title,https://cdn.shopify.com/s/files/1/0552/4075/3207/files/el-secreto-de-la-turmalina1-f886f00764dbf3378216933459262630-1024-1024.webp?v=1777233100,,,,,,,,,
,la-nina-que-se-escondia-demasiado,La Niña que se escondia demasiado,,Lorem ipsum,draft,https://cdn.shopify.com/s/files/1/0552/4075/3207/files/2074.webp?v=1777232963,200.0,,,,,,,,,,,,,true,,"{""publisher"":""Muñeca de trapo""}",,Default Title,,9789569829017,false,true,200.0,,,,,,,,23.00,,Title,Default Title,https://cdn.shopify.com/s/files/1/0552/4075/3207/files/2074.webp?v=1777232963,,,,,,,,,
,mi-casa-a-veces,Mi casa a veces,,Lorem ipsum,draft,https://cdn.shopify.com/s/files/1/0552/4075/3207/files/9786319005431-1.jpg?v=1777232858,200.0,,,,,,,,,,,,,true,,"{""publisher"":""Ralenti""}",,Default Title,,9786319005431,false,true,200.0,,,,,,,,20.00,,Title,Default Title,https://cdn.shopify.com/s/files/1/0552/4075/3207/files/9786319005431-1.jpg?v=1777232858,,,,,,,,,
,los-tatuajes,Los tatuajes,,Lorem ipsum,draft,https://cdn.shopify.com/s/files/1/0552/4075/3207/files/PorIdentidad.jpg?v=1777232784,100.0,,,,,,,,,,,,,true,,"{""publisher"":""Lecturita Ediciones""}",,Default Title,,9789878455372,false,true,100.0,,,,,,,,24.00,,Title,Default Title,https://cdn.shopify.com/s/files/1/0552/4075/3207/files/PorIdentidad.jpg?v=1777232784,,,,,,,,,
